sample,family,trim,inflate,retention,trim_relative,inflate_relative,relative_shift
DRR014782,f__Muribaculaceae,2302293.0,2312425.0,1.0044008299551794,0.4269018914427633,0.47385360082015704,0.046951709377393736
DRR014782,f__Bacteroidaceae,1002774.0,1004794.0,1.0020144120210537,0.18593902569726162,0.20589867994961517,0.019959654252353548
DRR014782,f__Lachnospiraceae,778807.0,552910.0,0.7099448258682831,0.14441002138688003,0.11330027760012672,-0.03110974378675331
DRR014782,f__UBA932,380152.0,377319.0,0.9925477177550033,0.07048955447275797,0.07731881760829469,0.006829263135536723
DRR014782,f__Oscillospiraceae,233012.0,119156.0,0.5113728048340858,0.04320617033924924,0.024417007971859254,-0.018789162367389988
DRR014782,f__Rikenellaceae,106995.0,104338.0,0.9751670638814898,0.019839511250270257,0.021380558073180123,0.001541046822909866
DRR014782,f__CAG-508,106647.0,80735.0,0.7570302024435756,0.019774983469391768,0.016543918381013604,-0.003231065088378164
DRR014782,f__Marinifilaceae,75014.0,75583.0,1.0075852507531928,0.013909445272468554,0.015488189545948487,0.0015787442734799331
DRR014782,f__Tannerellaceae,65432.0,45368.0,0.6933610465827118,0.012132706202417715,0.009296643204432093,-0.0028360629979856215
DRR014782,f__Ruminococcaceae,50708.0,27094.0,0.5343141121716495,0.009402513542489875,0.005552002534404936,-0.003850511008084939
DRR014782,f__UBA660,47249.0,29082.0,0.615505090054816,0.008761129651516607,0.0059593761609789755,-0.002801753490537632
DRR014782,f__Desulfovibrionaceae,35446.0,35500.0,1.0015234441121705,0.00657256241672115,0.007274529045964983,0.0007019666292438324
DRR014782,f__Mucispirillaceae,34890.0,35165.0,1.0078819145887075,0.006469466307041724,0.007205882081728412,0.0007364157746866879
DRR014782,f__Borkfalkiaceae,33647.0,14716.0,0.43736440098671503,0.0062389834575245886,0.0030155484349414278,-0.003223435022583161
DRR014782,f__Lactobacillaceae,22679.0,18340.0,0.8086776312888575,0.004205245811905969,0.003758165146563318,-0.0004470806653426515
DRR014782,f__Chlamydiaceae,15302.0,5755.0,0.37609462815318256,0.0028373681120765965,0.0011792933706909429,-0.0016580747413856537
DRR014782,f__UBA3700,13009.0,10203.0,0.7843031747251903,0.00241218937197781,0.0020907611227036823,-0.0003214282492741277
